Id,Object,Value,place_in_house,Type
0,Bathroom,-1,0,1
1,Kitchen,-1,1,1
2,Bedroom,-1,2,1
3,Office,-1,3,1
4,LivingRoom,-1,4,1
5,OutsideRegion,-1,5,1
6,ToiletDoor,-1,0,0
7,ToiletDoor,-1,1,0
8,Fridge,-1,1,0
9,GroceriesCupboard,-1,1,0
10,ToiletFlush,-1,0,0
11,Frontdoor,-1,5,0
12,Frontdoor,-1,1,0
13,PlatesCupboard,-1,1,0
14,BedroomDoor,-1,2,0
15,BedroomDoor,-1,4,0
16,BedPressureRight,-1,2,0
17,BedPressureLeft,-1,2,0
18,CutleryDrawer,-1,1,0
19,StoveLid,-1,1,0
20,BedroomMovement,-1,2,0
21,BedroomDresser,-1,2,0
22,BathroomPIR,-1,0,0
23,PianoSeatPressure,-1,4,0
24,SinkFloat,-1,0,0
25,ServerNookSeatPressure,-1,1,0
26,BalconyDoor,-1,1,0
27,KitchenWindow,-1,1,0
28,Toaster,-1,1,0
29,Microwave,-1,1,0
30,KitchenPIR,-1,1,0
31,time_of_the_day,-1,-1,-1
