Id,Object,Value,place_in_house,Type
0,Toilet,-1,0,1
1,Bathroom,-1,1,1
2,Kitchen,-1,2,1
3,Bedroom,-1,3,1
4,Hall,-1,4,1
5,Office,-1,5,1
6,LivingRoom,-1,6,1
7,OutsideRegion,-1,7,1
8,BedPressureRight,-1,7,0
9,CouchSeatPressure ,-1,1,0
10,Freezer,-1,2,0
11,UpstairBathroomtToiletFlush,-1,6,0
12,UpstairBathroomtToiletFlush,-1,0,0
13,DownstairToiletFlush,-1,3,0
14,UpstairBathroomtDoor2,-1,6,0
15,UpstairBathroomtDoor2,-1,0,0
16,CutleryDrawer2,-1,2,0
17,KeysSensor,-1,4,0
18,UpstairBathroomtDoor1,-1,6,0
19,UpstairBathroomtDoor1,-1,0,0
20,CutleryDrawer1,-1,2,0
21,PansCupboard,-1,2,0
22,Microwave,-1,2,0
23,LeftoverCupboard,-1,2,0
24,PlatesAndHerbsCupboard,-1,2,0
25,DownstairToiletDoor,-1,3,0
26,DownstairToiletDoor,-1,1,0
27,CupsBowlTunaCupboard,-1,2,0
28,Frontdoor,-1,4,0
29,Frontdoor,-1,0,0
30,BedroomDoor,-1,7,0
31,BedroomDoor,-1,0,0
32,Fridge,-1,2,0
33,BathtubPIR,-1,6,0
34,BedroomDresserPIR,-1,7,0
35,UpstairBathroomSinkFloat,-1,6,0
36,UpstairBathroomSinkFloat,-1,0,0
37,BedPressureLeft,-1,7,0
