,start,end,activity,time_of_the_day,BalconyDoor_24,BathroomPIR_19,BedPressureLeft_13,BedPressureRight_12,BedroomDoor_10,BedroomDresser_18,BedroomMovement_16,CutleryDrawer_14,Fridge_3,Frontdoor_7,GroceriesCupboard_5,KitchenPIR_28,KitchenWindow_25,Microwave_27,PianoSeatPressure_20,PlatesCupboard_9,ServerNookSeatPressure_22,SinkFloat_21,StoveLid_15,Toaster_26,ToiletDoor_1,ToiletFlush_6,one_hot_time_of_the_day,repeated_activitiesUnary
0,24-Jul-2009 16:46:00,24-Jul-2009 16:46:59,leaveHouse,0.6986111111111111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0 0 0]
20,24-Jul-2009 17:06:00,24-Jul-2009 17:06:59,leaveHouse,0.7125,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 1 0 0 0 0 0]
21,24-Jul-2009 17:07:00,24-Jul-2009 17:07:59,leaveHouse,0.7131944444444445,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0 0 0]
22,24-Jul-2009 17:08:00,24-Jul-2009 17:08:59,leaveHouse,0.7138888888888889,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0 0 0]
25,24-Jul-2009 17:11:00,24-Jul-2009 17:11:59,leaveHouse,0.7159722222222222,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0 0 0]
26,24-Jul-2009 17:12:00,24-Jul-2009 17:12:59,leaveHouse,0.7166666666666667,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0 0 0]
27,24-Jul-2009 17:13:00,24-Jul-2009 17:13:59,leaveHouse,0.7173611111111111,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0 0 0]
28,24-Jul-2009 17:14:00,24-Jul-2009 17:14:59,leaveHouse,0.7180555555555556,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0 0 0]
43,24-Jul-2009 17:29:00,24-Jul-2009 17:29:59,leaveHouse,0.7284722222222222,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 1 0 0 0 0 0]
44,24-Jul-2009 17:30:00,24-Jul-2009 17:30:59,leaveHouse,0.7291666666666666,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
45,24-Jul-2009 17:31:00,24-Jul-2009 17:31:59,leaveHouse,0.7298611111111111,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
62,24-Jul-2009 17:48:00,24-Jul-2009 17:48:59,leaveHouse,0.7416666666666667,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 1 0 0 0 0 0]
63,24-Jul-2009 17:49:00,24-Jul-2009 17:49:59,leaveHouse,0.7423611111111111,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
67,24-Jul-2009 17:53:00,24-Jul-2009 17:53:59,leaveHouse,0.7451388888888889,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
