start,end,activity,time_of_the_day,BedPressureBedroom_1,BasinPIRBathroom_3,ToiletFlushBathroom_4,ShowerPIRBathroom_5,FridgeMagneticKitchen_6,CupboardMagneticKitchen_7,MicrowaveElectricKitchen_10,SeatPressureLiving_11,MaindoorMagneticEntrance_12,DoorPIRLiving_13,DoorPIRKitchen_14,DoorPIRBedroom_15
11-Nov-2012 21:14:00,11-Nov-2012 21:14:59,watchTV,0.8847222222222222,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:15:00,11-Nov-2012 21:15:59,watchTV,0.8854166666666666,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:16:00,11-Nov-2012 21:16:59,watchTV,0.8861111111111111,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:17:00,11-Nov-2012 21:17:59,watchTV,0.8868055555555555,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:18:00,11-Nov-2012 21:18:59,watchTV,0.8875,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:19:00,11-Nov-2012 21:19:59,watchTV,0.8881944444444444,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:20:00,11-Nov-2012 21:20:59,watchTV,0.8888888888888888,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:21:00,11-Nov-2012 21:21:59,watchTV,0.8895833333333333,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:22:00,11-Nov-2012 21:22:59,watchTV,0.8902777777777777,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:23:00,11-Nov-2012 21:23:59,watchTV,0.8909722222222223,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:24:00,11-Nov-2012 21:24:59,watchTV,0.8916666666666667,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:25:00,11-Nov-2012 21:25:59,watchTV,0.8923611111111112,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:26:00,11-Nov-2012 21:26:59,watchTV,0.8930555555555556,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:27:00,11-Nov-2012 21:27:59,watchTV,0.89375,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:28:00,11-Nov-2012 21:28:59,watchTV,0.8944444444444445,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:29:00,11-Nov-2012 21:29:59,watchTV,0.8951388888888889,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:30:00,11-Nov-2012 21:30:59,watchTV,0.8958333333333334,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:31:00,11-Nov-2012 21:31:59,watchTV,0.8965277777777778,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:32:00,11-Nov-2012 21:32:59,watchTV,0.8972222222222223,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:33:00,11-Nov-2012 21:33:59,watchTV,0.8979166666666667,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:34:00,11-Nov-2012 21:34:59,watchTV,0.8986111111111111,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:35:00,11-Nov-2012 21:35:59,watchTV,0.8993055555555556,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:36:00,11-Nov-2012 21:36:59,watchTV,0.9,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:37:00,11-Nov-2012 21:37:59,watchTV,0.9006944444444445,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:38:00,11-Nov-2012 21:38:59,watchTV,0.9013888888888889,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:39:00,11-Nov-2012 21:39:59,watchTV,0.9020833333333333,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:40:00,11-Nov-2012 21:40:59,watchTV,0.9027777777777778,0,0,0,0,0,0,0,1,0,0,0,0
11-Nov-2012 21:41:00,11-Nov-2012 21:41:59,watchTV,0.9034722222222222,0,0,0,0,0,0,0,1,0,0,0,0
