Id,Object,Value,place_in_house,Type
0,Bedroom,-1,3,1
1,Bathroom,-1,1,1
2,Kitchen,-1,2,1
3,Hall,-1,4,1
4,LivingRoom,-1,6,1
5,OutsideRegion,-1,7,1
6,BedPressureBedroom,-1,3,0
7,CabinetMagneticBathroom,-1,1,0
8,BasinPIRBathroom,-1,1,0
9,ToiletFlushBathroom,-1,1,0
10,ShowerPIRBathroom,-1,1,0
11,FridgeMagneticKitchen,-1,2,0
12,CupboardMagneticKitchen,-1,2,0
13,ToasterElectricKitchen,-1,2,0
14,CooktopPIRKitchen,-1,2,0
15,MicrowaveElectricKitchen,-1,2,0
16,SeatPressureLiving,-1,6,0
17,MaindoorMagneticEntrance,-1,7,0
18,MaindoorMagneticEntrance,-1,4,0
19,time_of_the_day,-1,-1,-1
