start,end,activity,time_of_the_day,BedPressureBedroom_1,CabinetMagneticBathroom_2,BasinPIRBathroom_3,ToiletFlushBathroom_4,ShowerPIRBathroom_5,FridgeMagneticKitchen_6,CupboardMagneticKitchen_7,ToasterElectricKitchen_8,CooktopPIRKitchen_9,MicrowaveElectricKitchen_10,SeatPressureLiving_11,MaindoorMagneticEntrance_12
28-Nov-2011 02:27:00,28-Nov-2011 02:27:59,goToBed,0.10208333333333333,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:28:00,28-Nov-2011 02:28:59,goToBed,0.10277777777777777,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:29:00,28-Nov-2011 02:29:59,goToBed,0.10347222222222222,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:30:00,28-Nov-2011 02:30:59,goToBed,0.10416666666666667,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:31:00,28-Nov-2011 02:31:59,goToBed,0.10486111111111111,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:32:00,28-Nov-2011 02:32:59,goToBed,0.10555555555555556,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:33:00,28-Nov-2011 02:33:59,goToBed,0.10625,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:34:00,28-Nov-2011 02:34:59,goToBed,0.10694444444444444,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:35:00,28-Nov-2011 02:35:59,goToBed,0.1076388888888889,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:36:00,28-Nov-2011 02:36:59,goToBed,0.10833333333333334,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:37:00,28-Nov-2011 02:37:59,goToBed,0.10902777777777778,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:38:00,28-Nov-2011 02:38:59,goToBed,0.10972222222222222,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:39:00,28-Nov-2011 02:39:59,goToBed,0.11041666666666666,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:40:00,28-Nov-2011 02:40:59,goToBed,0.1111111111111111,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:41:00,28-Nov-2011 02:41:59,goToBed,0.11180555555555556,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:42:00,28-Nov-2011 02:42:59,goToBed,0.1125,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:43:00,28-Nov-2011 02:43:59,goToBed,0.11319444444444444,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:44:00,28-Nov-2011 02:44:59,goToBed,0.11388888888888889,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:45:00,28-Nov-2011 02:45:59,goToBed,0.11458333333333333,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:46:00,28-Nov-2011 02:46:59,goToBed,0.11527777777777778,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:47:00,28-Nov-2011 02:47:59,goToBed,0.11597222222222223,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:48:00,28-Nov-2011 02:48:59,goToBed,0.11666666666666667,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:49:00,28-Nov-2011 02:49:59,goToBed,0.11736111111111111,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:50:00,28-Nov-2011 02:50:59,goToBed,0.11805555555555555,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:51:00,28-Nov-2011 02:51:59,goToBed,0.11875,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:52:00,28-Nov-2011 02:52:59,goToBed,0.11944444444444445,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:53:00,28-Nov-2011 02:53:59,goToBed,0.12013888888888889,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:54:00,28-Nov-2011 02:54:59,goToBed,0.12083333333333333,1,0,0,0,0,0,0,0,0,0,0,0
28-Nov-2011 02:55:00,28-Nov-2011 02:55:59,goToBed,0.12152777777777778,1,0,0,0,0,0,0,0,0,0,0,0
